date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
4/29/2021,Italy,14314,288,4009208,120544,88263,2187,183052,4607
4/30/2021,Italy,13445,263,4022653,120807,86950,2108,180574,4441
5/1/2021,Italy,12964,226,4035617,121033,86100,2012,178174,4357
5/2/2021,Italy,9145,144,4044762,121177,82088,1939,174631,4250
5/3/2021,Italy,5946,256,4050708,121433,79594,1894,171714,4190
5/4/2021,Italy,9113,305,4059821,121738,78309,1826,168758,4105
5/5/2021,Italy,10579,267,4070400,122005,75506,1749,165501,4008
5/6/2021,Italy,11798,258,4082198,122263,72990,1719,161253,3906
5/7/2021,Italy,10549,207,4092747,122470,70094,1663,157044,3771
5/8/2021,Italy,10174,224,4102921,122694,67304,1661,153404,3673
5/9/2021,Italy,8289,139,4111210,122833,66448,1656,148536,3595
5/10/2021,Italy,5077,198,4116287,123031,65579,1598,145173,3492
5/11/2021,Italy,6943,251,4123230,123282,63409,1544,141718,3370
5/12/2021,Italy,7848,262,4131078,123544,60678,1539,136184,3288
5/13/2021,Italy,8082,201,4139160,123745,56962,1482,129952,3201
5/14/2021,Italy,7562,182,4146722,123927,53975,1457,124069,3120
5/15/2021,Italy,6652,136,4153374,124063,50453,1369,117757,3030
5/16/2021,Italy,5748,93,4159122,124156,47912,1323,114360,2979
5/17/2021,Italy,3454,140,4162576,124296,46289,1265,111868,2863
5/18/2021,Italy,4449,201,4167025,124497,43795,1215,107204,2759
5/19/2021,Italy,5500,149,4172525,124646,41447,1102,102125,2641
5/20/2021,Italy,5736,164,4178261,124810,39101,1065,96063,2547
5/21/2021,Italy,5215,218,4183476,125028,36754,1101,90729,2558
5/22/2021,Italy,4714,125,4188190,125153,34816,1090,85269,2459
5/23/2021,Italy,3993,72,4192183,125225,33061,1069,80973,2392
5/24/2021,Italy,2489,110,4194672,125335,32096,1039,78385,2304
5/25/2021,Italy,3220,166,4197892,125501,30867,1004,74662,2219
5/26/2021,Italy,3935,121,4201827,125622,29302,976,70749,2078
5/27/2021,Italy,4143,171,4205970,125793,27709,983,66810,2048
5/28/2021,Italy,3737,126,4209707,125919,26231,891,62985,1992
5/29/2021,Italy,3348,83,4213055,126002,24865,849,59681,1939
5/30/2021,Italy,2948,44,4216003,126046,23820,821,56881,1890
5/31/2021,Italy,1818,82,4217821,126128,23149,793,55245,1832
6/1/2021,Italy,2483,93,4220304,126221,22412,720,53279,1724
1/1/2021,South Africa,16726,418,1073887,28887,90528,2611,172349,4602
1/2/2021,South Africa,15002,288,1088889,29175,93978,2654,176412,4636
1/3/2021,South Africa,11859,402,1100748,29577,96335,2842,178826,4886
1/4/2021,South Africa,12601,434,1113349,30011,101478,2940,182638,5104
1/5/2021,South Africa,14410,513,1127759,30524,106308,2956,187547,5278
1/6/2021,South Africa,21832,844,1149591,31368,110430,3335,195333,5711
1/7/2021,South Africa,20999,441,1170590,31809,113429,3340,202027,5826
1/8/2021,South Africa,21980,616,1192570,32425,118683,3538,209211,6149
1/9/2021,South Africa,21606,399,1214176,32824,125287,3649,219265,6303
1/10/2021,South Africa,17421,339,1231597,33163,130849,3586,227184,6428
1/11/2021,South Africa,15046,416,1246643,33579,133294,3568,234772,6508
1/12/2021,South Africa,13105,755,1259748,34334,131989,3810,238297,6766
1/13/2021,South Africa,18555,806,1278303,35140,128712,3772,239142,7107
1/14/2021,South Africa,18503,712,1296806,35852,126216,4043,239645,7383
1/15/2021,South Africa,14880,615,1311686,36467,119116,4042,237799,7580
1/16/2021,South Africa,13973,384,1325659,36851,111483,4027,236770,7676
1/17/2021,South Africa,12267,254,1337926,37105,106329,3942,237178,7528
1/18/2021,South Africa,9010,344,1346936,37449,100293,3870,233587,7438
1/19/2021,South Africa,9780,839,1356716,38288,96968,3954,228957,7764
1/20/2021,South Africa,12710,566,1369426,38854,91123,3714,219835,7486
1/21/2021,South Africa,11381,647,1380807,39501,84001,3649,210217,7692
1/22/2021,South Africa,11761,575,1392568,40076,80882,3609,199998,7651
1/23/2021,South Africa,12271,498,1404839,40574,79180,3723,190663,7750
1/24/2021,South Africa,8147,300,1412986,40874,75060,3769,181389,7711
1/25/2021,South Africa,4551,243,1417537,41117,70601,3668,170894,7538
1/26/2021,South Africa,6041,680,1423578,41797,66862,3509,163830,7463
1/27/2021,South Africa,7070,753,1430648,42550,61222,3696,152345,7410
1/28/2021,South Africa,7150,555,1437798,43105,56991,3604,140992,7253
1/29/2021,South Africa,6141,528,1443939,43633,51371,3557,132253,7166
1/30/2021,South Africa,5297,318,1449236,43951,44397,3377,123577,7100
1/31/2021,South Africa,4525,213,1453761,44164,40775,3290,115835,7059
2/1/2021,South Africa,2548,235,1456309,44399,38772,3282,109373,6950
2/2/2021,South Africa,2649,547,1458958,44946,35380,3149,102242,6658
2/3/2021,South Africa,4058,398,1463016,45344,32368,2794,93590,6490
2/4/2021,South Africa,3751,261,1466767,45605,28969,2500,85960,6104
2/5/2021,South Africa,3749,297,1470516,45902,26577,2269,77948,5826
2/6/2021,South Africa,3184,278,1473700,46180,24464,2229,68861,5606
2/7/2021,South Africa,2435,110,1476135,46290,22374,2126,63149,5416
2/8/2021,South Africa,1376,183,1477511,46473,21202,2074,59974,5356
2/9/2021,South Africa,1742,396,1479253,46869,20295,1923,55675,5072
2/10/2021,South Africa,3159,276,1482412,47145,19396,1801,51764,4595
2/11/2021,South Africa,2488,237,1484900,47382,18133,1777,47102,4277
2/12/2021,South Africa,2781,288,1487681,47670,17165,1768,43742,4037
2/13/2021,South Africa,2382,151,1490063,47821,16363,1641,40827,3870
2/14/2021,South Africa,1744,78,1491807,47899,15672,1609,38046,3735
2/15/2021,South Africa,1102,195,1492909,48094,15398,1621,36600,3695
2/16/2021,South Africa,1210,219,1494119,48313,14866,1444,35161,3367
2/17/2021,South Africa,2320,165,1496439,48478,14027,1333,33423,3134
2/18/2021,South Africa,2327,230,1498766,48708,13866,1326,31999,3103
2/19/2021,South Africa,1911,151,1500677,48859,12996,1189,30161,2957
2/20/2021,South Africa,1690,81,1502367,48940,12304,1119,28667,2760
2/21/2021,South Africa,1429,113,1503796,49053,11989,1154,27661,2763
2/22/2021,South Africa,792,97,1504588,49150,11679,1056,27077,2677
2/23/2021,South Africa,998,263,1505586,49413,11467,1100,26333,2544
2/24/2021,South Africa,1862,110,1507448,49523,11009,1045,25036,2378
2/25/2021,South Africa,1676,144,1509124,49667,10358,959,24224,2285
2/26/2021,South Africa,1654,117,1510778,49784,10101,925,23097,2114
2/27/2021,South Africa,1447,157,1512225,49941,9858,1001,22162,2120
2/28/2021,South Africa,1168,52,1513393,49993,9597,940,21586,2094
3/1/2021,South Africa,566,84,1513959,50077,9371,927,21050,1983
3/2/2021,South Africa,856,194,1514815,50271,9229,858,20696,1958
3/3/2021,South Africa,1447,95,1516262,50366,8814,843,19823,1888
3/4/2021,South Africa,1404,96,1517666,50462,8542,795,18900,1754
3/5/2021,South Africa,1313,104,1518979,50566,8201,782,18302,1707
3/6/2021,South Africa,1227,81,1520206,50647,7981,706,17839,1707
3/7/2021,South Africa,862,31,1521068,50678,7675,685,17272,1625
3/8/2021,South Africa,638,125,1521706,50803,7747,726,17118,1653
3/9/2021,South Africa,991,103,1522697,50906,7882,635,17111,1493
3/10/2021,South Africa,1477,109,1524174,51015,7912,649,16726,1492
3/11/2021,South Africa,1474,95,1525648,51110,7982,648,16524,1443
3/12/2021,South Africa,1225,69,1526873,51179,7894,613,16095,1395
3/13/2021,South Africa,1541,82,1528414,51261,8208,614,16189,1320
3/14/2021,South Africa,1006,65,1529420,51326,8352,648,16027,1333
3/15/2021,South Africa,613,95,1530033,51421,8327,618,16074,1344
3/16/2021,South Africa,933,139,1530966,51560,8269,654,16151,1289
3/17/2021,South Africa,1531,74,1532497,51634,8323,619,16235,1268
3/18/2021,South Africa,1464,90,1533961,51724,8313,614,16295,1262
3/19/2021,South Africa,1462,311,1535423,52035,8550,856,16444,1469
3/20/2021,South Africa,1378,47,1536801,52082,8387,821,16595,1435
3/21/2021,South Africa,1051,29,1537852,52111,8432,785,16784,1433
3/22/2021,South Africa,599,85,1538451,52196,8418,775,16745,1393
3/23/2021,South Africa,510,55,1538961,52251,7995,691,16264,1345
3/24/2021,South Africa,1048,121,1540009,52372,7512,738,15835,1357
3/25/2021,South Africa,1554,163,1541563,52535,7602,811,15915,1425
3/26/2021,South Africa,1516,67,1543079,52602,7656,567,16206,1423
3/27/2021,South Africa,1387,46,1544466,52648,7665,566,16052,1387
3/28/2021,South Africa,965,15,1545431,52663,7579,552,16011,1337
3/29/2021,South Africa,548,47,1545979,52710,7528,514,15946,1289
3/30/2021,South Africa,756,78,1546735,52788,7774,537,15769,1228
3/31/2021,South Africa,1422,58,1548157,52846,8148,474,15660,1212
4/1/2021,South Africa,1294,51,1549451,52897,7888,362,15490,1173
4/2/2021,South Africa,1273,49,1550724,52946,7645,344,15301,911
4/3/2021,South Africa,777,8,1551501,52954,7035,306,14700,872
4/4/2021,South Africa,463,33,1551964,52987,6533,324,14112,876
4/5/2021,South Africa,452,8,1552416,52995,6437,285,13965,799
4/6/2021,South Africa,437,37,1552853,53032,6118,244,13892,781
4/7/2021,South Africa,756,79,1553609,53111,5452,265,13600,739
4/8/2021,South Africa,1366,62,1554975,53173,5524,276,13412,638
4/9/2021,South Africa,1267,53,1556242,53226,5518,280,13163,624
4/10/2021,South Africa,1285,30,1557527,53256,6026,302,13061,608
4/11/2021,South Africa,931,66,1558458,53322,6494,335,13027,659
4/12/2021,South Africa,655,34,1559113,53356,6697,361,13134,646
4/13/2021,South Africa,847,67,1559960,53423,7107,391,13225,635
